"Time (ms)","Ankle 5","Ankle 6"
"17117","32.19363","87.70409"
"17150","30.95157","92.18403"
"17184","35.7174","92.20483"
"17217","45.93281","84.7346"
"17251","56.77545","69.25304"
"17284","66.03918","49.86735"
"17317","75.496","34.79517"
"17351","85.98016","30.75898"
"17384","94.24329","38.26968"
"17417","95.38704","51.93237"
"17451","86.56203","64.73209"
"17484","68.71535","73.43992"
"17518","47.11993","79.76538"
"17551","30.10762","86.21056"
"17584","24.75733","92.16341"
"17618","31.78185","93.88524"
"17651","45.03795","87.33385"
"17684","57.58486","71.77319"
"17718","67.96875","52.22382"
"17751","78.93156","37.48445"
"17784","90.71964","33.74623"
"17818","98.73926","40.40292"
"17851","97.52784","52.1249"
"17885","84.94048","63.77827"
"17918","64.35032","73.5511"
"17951","44.02898","82.27292"
"17985","31.96555","90.20528"
"18018","31.05447","95.46827"
"18051","39.33175","96.42887"
"18085","52.01031","93.4429"
"18118","64.18813","85.82381"
"18151","74.62585","71.15814"
"18185","85.1384","52.23327"
"18218","95.39848","39.86262"
"18252","101.4184","42.47915"
"18285","98.99386","56.37991"
"18318","86.33768","71.19171"
"18352","65.61481","81.32854"
"18385","44.07167","88.2421"
"18418","30.78646","94.32467"
"18452","30.62249","98.80453"
"18485","41.73125","98.91183"
"18518","57.39779","91.34913"
"18552","70.89256","74.45895"
"18585","80.64676","52.91077"
"18619","89.28645","37.1604"
"18652","97.58138","34.84983"
"18685","102.2557","44.6549"
"18719","99.16227","59.27497"
"18752","86.53753","72.25253"
"18785","66.9923","82.01857"
"18819","47.53068","90.70381"
"18852","35.3849","98.96522"
"18886","34.06202","104.1054"
"18919","43.03007","103.3567"
"18952","57.67339","94.47075"
"18986","71.5815","76.16983"
"19019","82.15147","53.11181"
"19052","91.21657","35.55191"
"19086","99.56312","31.4437"
"19119","104.1563","40.94263"
"19152","100.6576","57.16574"
"19186","86.6227","71.67888"
"19219","64.05651","81.03492"
"19253","40.85115","87.77235"
"19286","27.41836","94.63918"
"19319","29.5587","100.3448"
"19353","44.37646","101.0782"
"19386","62.80962","92.91933"
"19419","76.7216","74.79914"
"19453","85.1677","52.51638"
"19486","93.09428","36.7451"
"19520","102.9034","34.75989"
"19553","109.6806","45.49312"
"19586","105.7463","61.57513"
"19620","88.29182","75.19137"
"19653","63.26699","84.0362"
"19686","41.74241","91.48779"
"19720","31.29939","99.89474"
"19753","32.86646","106.2005"
"19786","44.21287","105.2457"
"19820","60.76295","94.79185"
"19853","75.62212","77.58158"